Product name,Product Link,Print Provider ,Dark Colors,Light Colors,Sizes,Print area,Print area extra,Shirt Design file(s),Shirt Design file(s) extra,Light Shirt Design file(s) if needed,Light Shirt Design file(s) extra ) if needed,End Price // Profit,title,description,"Tags (individual, seperated by comma)"
Rabbit Skins 4424,https://printify.com/app/products/33/rabbit-skins/infant-fine-jersey-bodysuit,Monster Digital,black,"light blue, pink, heather, white",6m-24m,Front,None,a100.png,,a100-LT.png,,$24.95,Potty Head - Baby Onesie,DESIGN-SKU: a100,group-100
Rabbit Skins 4424,https://printify.com/app/products/33/rabbit-skins/infant-fine-jersey-bodysuit,Monster Digital,black,"light blue, pink, heather, white",6m-24m,Front,None,a100.png,,a100-LT.png,,$24.95,Potty Head - Baby Onesie,DESIGN-SKU: a100,group-100
